#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1BG	APOH	9606.ENSP00000263100	9606.ENSP00000205948	0	0	0	0	0.064	0	0	0.460	0.472
A1BG	SHC1	9606.ENSP00000263100	9606.ENSP00000401303	0	0	0	0	0	0	0	0.402	0.402
A1BG	C9	9606.ENSP00000263100	9606.ENSP00000263408	0	0	0	0	0.062	0	0	0.439	0.452
A1BG	IL6R	9606.ENSP00000263100	9606.ENSP00000357470	0	0	0	0	0	0	0.900	0	0.900
A1BG	PIK3R1	9606.ENSP00000263100	9606.ENSP00000428056	0	0	0	0	0	0	0.900	0.135	0.909
AASDH	SRP72	9606.ENSP00000205214	9606.ENSP00000342181	0	0	0	0	0.100	0	0	0.363	0.402
AASDH	SLC44A5	9606.ENSP00000205214	9606.ENSP00000359892	0	0	0	0	0.095	0	0	0.370	0.405
AASDH	HIP1	9606.ENSP00000205214	9606.ENSP00000336747	0	0	0	0	0	0	0	0.429	0.429
AASDH	N6AMT1	9606.ENSP00000205214	9606.ENSP00000303584	0.319	0	0	0	0	0	0	0.228	0.451
AASDH	NDUFAB1	9606.ENSP00000205214	9606.ENSP00000458770	0.359	0	0	0	0.201	0.688	0	0.422	0.895
ABHD16A	LYPLA1	9606.ENSP00000379282	9606.ENSP00000320043	0	0	0	0	0	0	0	0.514	0.514
ACE2	CAT	9606.ENSP00000389326	9606.ENSP00000241052	0	0	0	0	0	0.272	0	0.306	0.473
ACE2	IL1B	9606.ENSP00000389326	9606.ENSP00000263341	0	0	0	0	0	0	0	0.432	0.432
ACE2	MRGPRD	9606.ENSP00000389326	9606.ENSP00000310631	0	0	0	0	0	0	0	0.703	0.704
ACE2	NOS1	9606.ENSP00000389326	9606.ENSP00000477999	0	0	0	0	0	0	0	0.427	0.427
ACSBG1	MAST1	9606.ENSP00000258873	9606.ENSP00000251472	0	0	0	0	0.076	0.056	0	0.468	0.496
ACSBG1	SLC25A17	9606.ENSP00000258873	9606.ENSP00000390722	0	0	0	0	0.459	0.056	0	0.073	0.485
ACSBG1	TBKBP1	9606.ENSP00000258873	9606.ENSP00000354777	0	0	0	0	0	0	0	0.492	0.492
ACSBG1	PNLIPRP3	9606.ENSP00000258873	9606.ENSP00000358232	0	0	0	0	0	0	0.600	0.058	0.607
ACSBG1	PNLIPRP1	9606.ENSP00000258873	9606.ENSP00000433933	0	0	0	0	0.049	0	0.600	0.059	0.610
ACSBG1	PNLIP	9606.ENSP00000258873	9606.ENSP00000358223	0	0	0	0	0.062	0	0.600	0.059	0.616
ACTG2	MYH1	9606.ENSP00000386857	9606.ENSP00000226207	0	0	0	0	0.066	0.342	0	0.461	0.640
ACTG2	CAT	9606.ENSP00000386857	9606.ENSP00000241052	0	0	0	0	0.062	0.089	0	0.361	0.406
ACTG2	SRF	9606.ENSP00000386857	9606.ENSP00000265354	0	0	0	0	0.062	0.118	0	0.547	0.592
ACTG2	MYO1E	9606.ENSP00000386857	9606.ENSP00000288235	0	0	0	0	0.062	0.167	0	0.345	0.444
ACTG2	HIP1	9606.ENSP00000386857	9606.ENSP00000336747	0	0	0	0	0	0.252	0	0.252	0.417
ACTG2	CALD1	9606.ENSP00000386857	9606.ENSP00000354826	0	0	0	0	0.107	0	0.600	0.558	0.828
ACTG2	DMAP1	9606.ENSP00000386857	9606.ENSP00000361363	0	0	0	0	0.062	0.345	0	0.117	0.410
ACTG2	MYO1B	9606.ENSP00000386857	9606.ENSP00000376132	0	0	0	0	0.066	0.348	0	0.147	0.435
ACYP2	TTC32	9606.ENSP00000378161	9606.ENSP00000333018	0	0	0	0	0	0	0	0.459	0.459
ADAM11	ADAM22	9606.ENSP00000200557	9606.ENSP00000265727	0	0	0	0.952	0.175	0.305	0	0.698	0.421
ADAM11	STH	9606.ENSP00000200557	9606.ENSP00000443168	0	0	0	0	0.070	0	0	0.511	0.526
ADAM11	LGI2	9606.ENSP00000200557	9606.ENSP00000371548	0	0	0	0	0.131	0.056	0	0.682	0.716
ADAM11	HIGD1B	9606.ENSP00000200557	9606.ENSP00000253410	0	0	0	0	0.097	0	0	0.743	0.758
ADAM22	LGI2	9606.ENSP00000265727	9606.ENSP00000371548	0	0	0	0	0.106	0.056	0.600	0.720	0.893
ADAMTS7	GRN	9606.ENSP00000373472	9606.ENSP00000053867	0	0	0	0	0.062	0	0	0.688	0.695
ADAMTS7	ADAMTS8	9606.ENSP00000373472	9606.ENSP00000257359	0	0	0	0.800	0.049	0	0.900	0.580	0.911
ADAMTS7	TMEM19	9606.ENSP00000373472	9606.ENSP00000266673	0	0	0	0	0	0	0	0.400	0.400
ADAMTS7	COL3A1	9606.ENSP00000373472	9606.ENSP00000304408	0	0	0	0	0.117	0.077	0	0.465	0.527
ADAMTS7	MMP14	9606.ENSP00000373472	9606.ENSP00000308208	0	0	0	0	0.158	0.066	0	0.341	0.437
ADAMTS7	PTHLH	9606.ENSP00000373472	9606.ENSP00000441765	0	0	0	0	0	0	0	0.431	0.431
ADAMTS7	SERPINE2	9606.ENSP00000373472	9606.ENSP00000415786	0	0	0	0	0.064	0	0	0.531	0.542
ADAMTS7	SPON1	9606.ENSP00000373472	9606.ENSP00000460236	0	0	0	0	0.062	0	0.900	0.063	0.904
ADAMTS8	CALD1	9606.ENSP00000257359	9606.ENSP00000354826	0	0	0	0	0	0	0	0.443	0.443
